"TCGA-4Z-AA7R-01";"TCGA-BL-A3JM-01";"TCGA-BT-A0S7-01";"TCGA-BT-A2LA-01";"TCGA-C4-A0EZ-01";"TCGA-DK-AA6W-01";"TCGA-FJ-A871-01";"TCGA-G2-A2EL-01";"TCGA-GD-A3OS-01";"TCGA-GV-A3JZ-01";"TCGA-K4-A3WV-01";"TCGA-XF-A9ST-01";"TCGA-XF-A9T2-01";"TCGA-XF-AAMG-01";"TCGA-XF-AAMH-01";"TCGA-XF-AAN7-01";"TCGA-YC-A9TC-01";"TCGA-ZF-AA4R-01"
"ARNTL2";0;0;0;0;0;0;0;0;0.0103183039350843;0;0.0182989794832336;0;0;0;0;0;0.0107701106461558;0
"MCM2";0;0;0;0;0;0.33312232383266;0.0808106151789913;0;0.100069259629413;0;0;0;0;0;0;0;0;0
"BRCA1";0;0.0114772800529536;0;0.0253111909354568;0;0;0.00686200025639733;0;0;0;0;0;0;0;0;0;0;0.0195302601263481
"DEK";0.0187561325339507;0;0;0;0;0.22248678583267;0;0;0;0;0;0;0;0.140901182481726;0;0;0;0
"E2F7";0;0;0;0.0130727656360195;0.0143572066448464;0;0;0;0;0;0;0;0;0;0;0;0.0463094778333486;0
"MCM4";0;0;0;0;0.055411618150199;0;0;0;0;0;0;0;0;0;0;0;0;0
"TIMELESS";0;0;0;0;0;0;0;0;0;0;0.00197515145687185;0;0;0;0;0;0;0
"MCM8";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00316241478638981
"WHSC1";0;0;0;0;0;0;0;0;0;0;0;0.122859930550173;0;0;0.0181061681897326;0;0;0
"WDHD1";0.0634043330474855;0;0;0;0;0;0.0559562865138981;0;0;0;0.127972409149762;0;0;0;0;0;0;0
"TFDP1";0;0;0;0;0.0357208502619897;0.40345142833992;0;0;0.0548660112116376;0;0.129293405696098;0;0.00144234571085931;0;0;0.00742079410780496;0.0360966071563375;0
"ANKRD32";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00230719332479606;0;0
"BARD1";0;0;0;0;0;0;0;0;0;0;0.0798486636065159;0;0;0;0;0;0;0
"BRCA2";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"DNMT1";0.0710232234977064;0;0.299430393191352;0;0.0307449784537124;0;0.148154469786685;0;0.0548708313902055;0.107918563635207;0;0.0257419109744968;0;0;0;0.0785476735627961;0;0.0914845673652176
"BRIP1";0;0;0;0;0.0145785528259318;0;0;0;0;0;0;0;0;0;0;0;0;0
"RBL1";0.000442215380236561;0;0.576836523080252;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"NFKBIA";0;0;0;0.000589303416809585;0;0;0.00235951829314801;0.000221112065019996;0;0;0;0.000612625024892132;0;0.00156444851827181;1.40944384988523e-06;0.00131302368456685;0.000836908239297245;0.00144651303306704
"NFKBIZ";0;0;0;3.92267827066116e-18;0;0;1.61996380342684e-17;2.37484828955319e-18;0;0;0;1.93070447211844e-18;0;1.05596335590684e-17;8.11701652294079e-19;8.04199460290821e-18;5.77032080373933e-18;1.03501030587579e-17
"MYBL2";0;0;0;0.0140862666732307;0;0;0;0.0175848363599206;0;0.0062308753276416;0;0.0541444733994763;0.0203698900924358;0.0479831619161582;0.0201483684672879;0.0469123078993003;0;0.0286807211334489
"TRIP13";0.0418838736375486;0;0;0.000213870615406632;0;0;0.0209283147458678;0.0029261427080917;0.136616655788507;0.0086846572968352;0;0;0.00691419709280168;0;0;0;0;0.0144910223551816
"ESPL1";0;0.0338447784046799;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"PTTG1";0;0.0558386705672121;0;0;0;0;0.0380178649929595;0.0388126785971255;0;0;0;0;0;0.0682697591093017;0.0218775591349828;0.0760057055256998;0.0626457146136223;0.0604884020372958
"MCM5";0;0;0;0;0;0;0;0.0387796833818503;0;0;0;0;0;0;0.00742186380313621;0;0;0.0121974402753282
"TCF19";0;0;0;0.0180551110244082;0;0;0;0;0;0;0;0.0110857157245366;0;0;0;0;0;0
"HMGB2";0;0;0;0;0;0;0;0.0101756785478401;0;0;0;0.0379335188834155;0;0;0;0;0;0
"TAF13";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"KLF7";0;0;0;0;0;0.00646881500465414;0;0;0.000906655681975731;0;0;0.0317170437636577;0;0;0;0;0;0
"ASCC3";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"ELK3";0.015162979805021;0;0;0;0;0;0.0392596738875098;0;0;0.0555464946387581;0;0.0262822708419095;0;0;0;0;0;0
"NOTCH2";0.0171532895014732;0;0;0;0;0.0161206558200243;0.00494181551494154;0.0513548934645961;0;0;0;0;0;0;0.00161176903787897;0.00678255984847353;0;0
"MLXIP";0.00886154004710192;0.00175731482511955;0.00239128989845863;0;0;0;0.014678954424535;0.00744964173706899;0;0.00926981529011622;0.00891344379845067;0.0111163982107203;0;0.00074579013887154;0;0.0228386915896356;0;0.0136309923897597
