gene ; activator ; inhibitor
CD247 ; SLA2 ZBTB32 TBX21 STAT4 SPI1 EOMES CIITA SP140 IRF8 TFEC IRF4 ; 
RCSD1 ; FAIM3 STAT5A SLA2 TBX21 SNAI3 STAT4 SPI1 EOMES POU2F2 CIITA SP140 IRF8 TFEC FLI1 IRF4 MEF2C HCLS1 KLF2 ZNF671 EBF1 NR4A3 EBF3 ; 
GPR161 ; PGBD1 ; 
ANKRD36BP1 ; BRIP1 RBL1 ZNF281 BARD1 BRCA2 POLR1A BDP1 NR2C2 RREB1 ZNF623 ZNF426 CLOCK ATF2 NCOR1 TAF1L SHPRH GTF2A1 ETV3 ADNP NCOA2 REST ZNF641 ASH1L ZKSCAN1 APC ; EDF1 TCEB2
XCL2 ; TBX21 ; 
DPT ; PRRX1 ; 
SLC19A2 ; POGK GRHL3 ; 
SELP ; SOX17 KLF2 MEOX1 TCF21 FOXF1 EBF1 LDB2 FHL5 EBF3 ; 
C1orf112 ; RAD51 BRCA2 ; 
SELE ; NR4A1 NR4A3 ; 
FASLG ; SLA2 IRF1 TBX21 STAT4 STAT1 EOMES CIITA SP140 ; 
KLHL20 ; MEF2A ELK3 ATF2 JMJD1C GTF2A1 REST ZNF641 ASH1L APC ; ZNF593
CENPL ; FOXM1 WDHD1 MCM2 BRCA1 DNMT1 MCM8 BRIP1 WHSC1 BRCA2 ; 
DARS2 ; POLR1B ; 
GAS5 ; ZNF581 ; 
TNN ; ZNF469 ETV1 ; 
ANGPTL1 ; MEOX2 HLF ZFPM2 LMO3 HAND2 ; 
SOAT1 ; EIF2AK2 ; 
TOR1AIP2 ; RREB1 ZNF426 CLOCK ATF2 GTF2A1 ETV3 NCOA2 REST ZNF641 ZKSCAN1 APC ; 
KIAA1614 ; TGFB1I1 APBB1 ; 
NPL ; HCLS1 ; 
NCF2 ; MNDA STAT4 STAT1 SPI1 TFEC ; 
RGL1 ; KLF9 FLI1 MEF2C ; TFAP4
EDEM3 ; APC ; 
FAM129A ; PRDM8 ; 
HMCN1 ; ZNF469 ETV1 PRRX1 NR2F1 LDB2 TCF4 ZNF423 ; 
RGS18 ; MNDA STAT4 SPI1 CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
RGS1 ; MNDA SLA2 SPI1 CIITA SP140 IRF8 TFEC IRF4 TSC22D3 ; 
RGS2 ; KLF9 KLF2 NR4A3 ; 
UCHL5 ; GTF2H3 FUBP1 ; 
KCNT2 ; MEF2C ; 
ASPM ; FOXM1 PTTG1 TIMELESS HMGB2 WDHD1 MCM2 MCM4 BRCA1 KNTC1 DNMT1 E2F7 MCM8 BRIP1 RBL1 WHSC1 TFDP1 ; 
ZBTB41 ; TAF1 SHPRH ASH1L ZKSCAN1 ; 
PTPRC ; MNDA SLA2 IRF1 ZBTB32 TBX21 RUNX3 STAT4 STAT1 FOXP3 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 ; 
KIF14 ; FOXM1 TRIP13 ANKRD32 TIMELESS WDHD1 MCM4 BRCA1 GTF2H3 DNMT1 E2F7 MCM8 BRIP1 RBL1 TTF2 WHSC1 BARD1 BRCA2 TFDP1 ; 
C1orf106 ; KLF5 RARG HES1 GRHL3 ZDHHC13 ZNF440 ; 
PKP1 ; HR BARX2 HES2 ; 
LAD1 ; TRIM29 IRF6 OVOL1 GRHL1 TFAP2A KLF5 HR BARX2 SOX15 HES2 GRHL3 RREB1 ; PSIP1 HABP4
CSRP1 ; TGFB1I1 HLF FOXF1 TBX4 LMO3 HAND2 MYOCD ; 
LMOD1 ; CSDC2 HIF3A MEOX2 PRDM6 HLF TCF21 CBX7 FOXF1 ZFPM2 TBX4 TBX5 NAP1L3 PKNOX2 PEG3 LMO3 HAND2 MYOCD NR3C2 RUNX1T1 ; 
PTPN7 ; MNDA LYL1 SLA2 IRF1 ZBTB32 TBX21 GFI1 RUNX3 STAT4 STAT1 FOXP3 SPI1 EOMES CIITA SP140 IRF8 TFEC FLI1 IRF4 HCLS1 ; 
UBE2T ; PTTG1 EZH2 HMGB2 MCM2 ; 
